DRUG_NAME,CONCENTRATION,SCREEN_NAME,PERCENT_INHIBITION
FIMM000176,10000,FH_2030_23032018_9999_BM,0.9699
FIMM000176,1000,FH_2030_23032018_9999_BM,1.0308
FIMM000176,100,FH_2030_23032018_9999_BM,1.1355
FIMM000176,10,FH_2030_23032018_9999_BM,1.0083
FIMM000176,1,FH_2030_23032018_9999_BM,1.046
FIMM000173,1000,FH_2030_23032018_9999_BM,0.0211
FIMM000173,100,FH_2030_23032018_9999_BM,0.3349
FIMM000173,10,FH_2030_23032018_9999_BM,0.4051
FIMM000173,1,FH_2030_23032018_9999_BM,1.0061
FIMM000173,0.1,FH_2030_23032018_9999_BM,1.1094
